발화문,상황
개를 예쁘다고 사놓고 끝까지 키우지도 않고 버리는 사람들이 엄청 많아졌대.,disgust
지금도 그대로 있어. 치우는 사람이 없어.,disgust
맞아. 무기력증인 것 같아. 한동안 정말 바빴었거든.,sad
오늘이 발표날인데 연락이 없더라고. 그래서 알아봤더니 명단에 내 이름이 없대.,sad
그치. 개 키우는 사람이 늘어나니까 그만큼 버리는 사람도 늘어나는 거야!,disgust
공채로 볼 수 있는 마지막 회사였어. 그래서 정말 많이 노력했거든.,sad
버려진 개가 워낙 많으니까 시설이 부족할 수 밖에 없고 당연히 상황이 너무 열악하지.,disgust
나 면접 또 떨어졌어.,sad
부모님께서 기대가 너무 크셔서 실망도 크실까봐 아직 말씀 못 드렸어.,sad
그렇지! 아 나 진짜 너무 싫어 그런 사람들. 대체 생명이 있는 개를 뭐라고 생각하는 거야?,disgust
지난 번에 토 해놓은 것도 관리하시는 분이 치우셨거든. 또 어떻게 말씀 드리지?,disgust
"해피가 어제 세상을 떠났어.	",sad
오늘은 아침부터 입맛이 없어서 아무것도 못 먹고 있어. 이따가 저녁에나 먹으려고.,sad
아빠가 또 다쳤어.,anger
그저께 밤에 갑자기 쓰러지더니 어제 끝내 눈을 감았어.,sad
난 잘하는 게 하나도 없나봐.,sad
퇴사고민을 같이 이야기할 사람이 아무도 없어.,anger
"전혀 괜찮지가 않아 15년 동안 같이 지내 왔잖아 갑자기 그렇게 가니깐 다들 상실감이 큰가 봐.	",sad
밤새워 준비한 기획안을 또 퇴짜맞았어.,sad
나갔다 왔어. 선배가 커피 사준대서 마시고 왔지.,sad
맞아. 버려지는 대부분의 아이들이 다 큰 강아지들이었어. 아직도 그 상처 받은 눈들을 잊혀지지가 않아.,disgust
나는 잘 하는 게 하나도 없나봐.,sad
맞아 좋은 곳으로 갔을 거라고 생각해. 정말 착하고 예쁜 아이였어.,sad
해피가 어제 세상을 떠났어.,sad
"기획안 지적 받은 것만 몇 고치고 일찍 퇴근 좀 해 보려고.	",sad
나 면접 또 떨어졌어.,sad
그저께 밤에 갑자기 의식을 잃더라구. 그러더니 어제 끝내 눈을 감았어.,sad
정말 그런 날이 올 수 있을까? 난 정말 열심히 노력하는 사람이거든.,sad
어제 저녁에 진짜 무서웠어.,fear
화장실에 누가 토해놓고 치우지도 않았어.,disgust
나 그 사람이랑 헤어졌어. ,sad
오늘이 발표 날인데 연락이 없어서 알아봤더니 명단에 내 이름이 없대.,sad
권태기가 왔다고 잠깐 시간을 갖자고 하더라고. 그런데 알고봤더니 새로운 사람이 생긴 거였어.,sad
"해피는 우리 집에 온 지 15년이 지났어 그러니 가족들 상실감은 이루 말할 수 없지.	",sad
해피가 어제 세상을 떠났어.,sad
많이 어렵지는 않았어. 하지만 내가 너무 부담스러웠었나봐. 내가 준비한 걸 다 못 보여줬어.,sad
"정말 가고 싶은 회사여서 이 회사만 준비했어 그리고 공채로 보는 마지막 회사였기 때문에 다른 회사는 또 없어.	",sad
